time;SamplingFrequency;ECG;Pulse
0;1000;511;515
0.001;1000;513;517
0.0020001;1000;516;518
0.0030001;1000;517;519
0.0040001;1000;517;518
0.0050001;1000;516;517
0.0060002;1000;515;519
0.0070002;1000;513;522
0.0080002;1000;513;519
0.0090002;1000;513;523
0.01;1000;513;519
0.011;1000;512;523
0.012;1000;510;522
0.013;1000;508;522
0.014;1000;507;523
0.015;1000;509;519
0.016;1000;511;522
0.017;1000;513;523
0.018;1000;518;523
0.019;1000;521;523
0.020001;1000;523;521
0.021001;1000;524;523
0.022001;1000;523;521
0.023001;1000;520;526
0.024001;1000;516;523
0.025001;1000;512;524
0.026001;1000;510;526
0.027001;1000;507;524
0.028001;1000;504;525
0.029001;1000;501;526
0.030001;1000;497;523
0.031001;1000;491;525
0.032001;1000;485;525
0.033001;1000;481;524
0.034001;1000;477;524
0.035001;1000;474;524
0.036001;1000;474;526
0.037001;1000;476;526
0.038001;1000;481;525
0.039001;1000;486;528
0.040001;1000;491;524
0.041001;1000;499;527
0.042001;1000;511;527
0.043001;1000;524;526
0.044001;1000;535;526
0.045001;1000;545;524
0.046001;1000;556;525
0.047001;1000;568;526
0.048001;1000;578;527
0.049001;1000;587;525
0.050001;1000;595;523
0.051001;1000;605;525
0.052001;1000;616;526
0.053001;1000;628;524
0.054001;1000;642;525
0.055001;1000;657;524
0.056001;1000;671;523
0.057001;1000;683;527
0.058001;1000;696;524
0.059001;1000;709;526
0.060002;1000;721;523
0.061002;1000;731;524
0.062002;1000;740;525
0.063002;1000;748;526
0.064002;1000;756;524
0.065002;1000;760;522
0.066002;1000;762;523
0.067002;1000;765;526
0.068002;1000;764;524
0.069002;1000;752;523
0.070002;1000;729;522
0.071002;1000;699;524
0.072002;1000;666;525
0.073002;1000;633;525
0.074002;1000;599;524
0.075002;1000;565;521
0.076002;1000;537;522
0.077002;1000;515;523
0.078002;1000;497;522
0.079002;1000;483;524
0.080002;1000;472;520
0.081002;1000;466;522
0.082002;1000;463;522
0.083002;1000;463;521
0.084002;1000;461;521
0.085002;1000;461;520
0.086002;1000;462;524
0.087002;1000;462;519
0.088002;1000;462;523
0.089002;1000;461;521
0.090002;1000;460;518
0.091002;1000;458;521
0.092002;1000;456;520
0.093002;1000;455;520
0.094002;1000;453;520
0.095002;1000;451;516
0.096002;1000;451;519
0.097002;1000;453;519
0.098002;1000;456;519
0.099002;1000;460;518
0.1;1000;463;516
0.101;1000;464;518
0.102;1000;468;519
0.103;1000;470;518
0.104;1000;470;516
0.105;1000;469;516
0.106;1000;468;519
0.107;1000;465;515
0.108;1000;465;518
0.109;1000;466;515
0.11;1000;468;516
0.111;1000;469;517
0.112;1000;470;516
0.113;1000;471;517
0.114;1000;471;515
0.115;1000;472;515
0.116;1000;474;517
0.117;1000;475;516
0.118;1000;476;517
0.119;1000;478;517
0.12;1000;479;514
0.121;1000;481;515
0.122;1000;484;519
0.123;1000;484;514
0.124;1000;483;516
0.125;1000;482;513
0.126;1000;480;515
0.127;1000;479;515
0.128;1000;479;515
0.129;1000;479;515
0.13;1000;477;513
0.131;1000;475;513
0.132;1000;473;516
0.133;1000;472;515
0.134;1000;472;513
0.135;1000;473;513
0.136;1000;476;515
0.137;1000;479;515
0.138;1000;481;516
0.139;1000;485;516
0.14;1000;486;512
0.141;1000;489;514
0.142;1000;491;515
0.143;1000;494;514
0.144;1000;495;515
0.145;1000;494;512
0.146;1000;493;514
0.147;1000;492;515
0.148;1000;491;514
0.149;1000;491;513
0.15;1000;491;513
0.151;1000;489;517
0.152;1000;486;511
0.153;1000;483;516
0.154;1000;482;515
0.155;1000;482;512
0.156;1000;486;514
0.157;1000;490;514
0.158;1000;494;514
0.159;1000;497;515
0.16;1000;498;512
0.161;1000;499;513
0.162;1000;500;512
0.163;1000;500;517
0.164;1000;501;515
0.165;1000;500;512
0.166;1000;499;512
0.167;1000;500;515
0.168;1000;500;514
0.169;1000;499;515
0.17;1000;497;513
0.171;1000;495;515
0.172;1000;492;513
0.173;1000;493;513
0.174;1000;494;512
0.175;1000;496;511
0.176;1000;497;513
0.177;1000;499;513
0.178;1000;502;513
0.179;1000;504;513
0.18;1000;506;511
0.181;1000;508;511
0.182;1000;511;516
0.183;1000;513;512
0.184;1000;513;515
0.185;1000;514;510
0.186;1000;513;513
0.187;1000;510;513
0.188;1000;507;513
0.189;1000;504;514
0.19;1000;502;511
0.191;1000;499;513
0.192;1000;497;513
0.193;1000;495;514
0.194;1000;495;513
0.195;1000;496;512
0.196;1000;499;513
0.197;1000;503;514
0.198;1000;506;513
0.199;1000;509;512
0.20001;1000;512;511
0.20101;1000;513;512
0.20201;1000;515;515
0.20301;1000;517;512
0.20401;1000;519;512
0.20501;1000;517;511
0.20601;1000;514;513
0.20701;1000;512;511
