time;SamplingFrequency;ECG
0;100;527
0.010003;100;528
0.020005;100;506
0.030008;100;507
0.04001;100;496
0.050013;100;503
0.060015;100;503
0.070018;100;506
0.08002;100;504
0.090023;100;507
0.10003;100;488
0.11003;100;496
0.12003;100;585
0.13003;100;736
0.14004;100;691
0.15004;100;470
0.16004;100;453
0.17004;100;455
0.18005;100;466
0.19005;100;476
0.20005;100;472
0.21005;100;483
0.22006;100;481
0.23006;100;497
0.24006;100;495
0.25006;100;501
0.26007;100;501
0.27007;100;512
0.28007;100;512
0.29007;100;520
0.30008;100;523
0.31008;100;528
0.32008;100;534
0.33008;100;545
0.34009;100;549
0.35009;100;571
0.36009;100;578
0.37009;100;583
0.3801;100;585
0.3901;100;583
0.4001;100;561
0.4101;100;537
0.42011;100;499
0.43011;100;465
0.44011;100;441
0.45011;100;436
0.46012;100;423
0.47012;100;427
0.48012;100;426
0.49012;100;439
0.50013;100;440
0.51013;100;457
0.52013;100;461
0.53013;100;464
0.54014;100;469
0.55014;100;485
0.56014;100;479
0.57014;100;494
0.58015;100;492
0.59015;100;498
0.60015;100;501
0.61015;100;501
0.62016;100;497
0.63016;100;504
0.64016;100;496
0.65016;100;505
0.66017;100;500
0.67017;100;503
0.68017;100;498
0.69017;100;505
0.70018;100;510
0.71018;100;511
0.72018;100;501
0.73018;100;509
0.74019;100;509
0.75019;100;515
0.76019;100;510
0.77019;100;510
0.7802;100;514
0.7902;100;514
0.8002;100;506
0.8102;100;511
0.82021;100;504
0.83021;100;513
0.84021;100;511
0.85021;100;514
0.86022;100;505
0.87022;100;515
0.88022;100;505
0.89022;100;513
0.90023;100;511
0.91023;100;523
0.92023;100;511
0.93023;100;522
0.94024;100;522
0.95024;100;526
0.96024;100;509
0.97024;100;503
0.98025;100;503
0.99025;100;507
1.0003;100;501
1.0103;100;510
1.0203;100;507
1.0303;100;505
1.0403;100;495
1.0503;100;485
1.0603;100;562
1.0703;100;700
1.0803;100;743
1.0903;100;506
1.1003;100;457
1.1103;100;462
1.1203;100;468
1.1303;100;478
1.1403;100;475
1.1503;100;484
1.1603;100;486
1.1703;100;492
1.1803;100;497
1.1903;100;504
1.2003;100;502
1.2103;100;513
1.2203;100;507
1.2303;100;521
1.2403;100;525
1.2503;100;530
1.2603;100;527
1.2703;100;545
1.2803;100;551
1.2903;100;562
1.3003;100;573
1.3103;100;582
1.3203;100;585
1.3303;100;586
1.3403;100;574
1.3503;100;547
1.3603;100;508
1.3703;100;475
1.3803;100;444
1.3903;100;441
1.4004;100;421
1.4104;100;426
1.4204;100;423
1.4304;100;435
1.4404;100;448
1.4504;100;453
1.4604;100;455
1.4704;100;465
1.4804;100;475
1.4904;100;476
1.5004;100;485
1.5104;100;491
1.5204;100;492
1.5304;100;496
1.5404;100;489
1.5504;100;496
1.5604;100;499
1.5704;100;503
1.5804;100;496
1.5904;100;496
1.6004;100;505
1.6104;100;512
