time;Sampling Frequency;ECG
0;100;473
0.01;100;479
0.02;100;482
0.03;100;484
0.04;100;489
0.05;100;492
0.06;100;496
0.07;100;497
0.08;100;499
0.09;100;496
0.1;100;500
0.11;100;496
0.12;100;501
0.13;100;501
0.14;100;509
0.15;100;506
0.16;100;510
0.17;100;510
0.18;100;511
0.19;100;508
0.2;100;514
0.21;100;511
0.22;100;518
0.23;100;511
0.24;100;512
0.25;100;518
0.26;100;515
0.27;100;508
0.28;100;511
0.29;100;506
0.3;100;509
0.31;100;499
0.32;100;511
0.33;100;509
0.34;100;510
0.35;100;499
0.36;100;515
0.37;100;513
0.38;100;508
0.39;100;499
0.4;100;496
0.41;100;500
0.42;100;506
0.43;100;501
0.44;100;507
0.45;100;503
0.46;100;510
0.47;100;506
0.48;100;499
0.49;100;481
0.5;100;562
0.51;100;667
0.52;100;710
0.53;100;529
0.54;100;474
0.55;100;463
0.56;100;473
0.57;100;474
0.58;100;489
0.59;100;484
0.6;100;490
0.61;100;487
0.62;100;499
0.63;100;499
0.64;100;505
0.65;100;504
0.66;100;509
0.67;100;510
0.68;100;510
0.69;100;522
0.7;100;520
0.71;100;527
0.72;100;540
0.73;100;541
0.74;100;544
0.75;100;555
0.76;100;553
0.77;100;546
0.78;100;540
0.79;100;517
0.8;100;494
0.81;100;469
0.82;100;455
0.83;100;446
0.84;100;449
0.85;100;448
0.86;100;454
0.87;100;460
0.88;100;465
0.89;100;471
0.9;100;469
0.91;100;480
0.92;100;489
0.93;100;489
0.94;100;487
0.95;100;492
0.96;100;502
0.97;100;499
0.98;100;501
0.99;100;492
1;100;505
1.01;100;498
1.02;100;507
1.03;100;505
1.04;100;506
1.05;100;506
1.06;100;507
1.07;100;503
1.08;100;503
1.09;100;510
1.1;100;511
1.11;100;508
1.12;100;512
1.13;100;511
1.14;100;509
1.15;100;497
1.16;100;514
1.17;100;512
1.18;100;504
1.19;100;503
1.2;100;505
1.21;100;507
1.22;100;504
1.23;100;505
1.24;100;511
1.25;100;506
1.26;100;502
1.27;100;513
1.28;100;523
1.29;100;520
1.3;100;516
1.31;100;508
1.32;100;508
1.33;100;506
1.34;100;511
1.35;100;509
1.36;100;507
1.37;100;509
1.38;100;516
1.39;100;491
1.4;100;504
1.41;100;608
1.42;100;691
1.43;100;635
1.44;100;471
1.45;100;466
1.46;100;462
1.47;100;472
1.48;100;478
1.49;100;480
1.5;100;480
1.51;100;487
1.52;100;489
1.53;100;494
1.54;100;506
1.55;100;501
1.56;100;511
1.57;100;511
1.58;100;508
1.59;100;512
1.6;100;519
1.61;100;525
1.62;100;531
1.63;100;543
1.64;100;551
1.65;100;553
1.66;100;555
1.67;100;554
1.68;100;544
1.69;100;529
1.7;100;512
1.71;100;489
1.72;100;472
1.73;100;457
1.74;100;449
1.75;100;453
1.76;100;460
1.77;100;464
1.78;100;466
1.79;100;481
1.8;100;479
1.81;100;490
1.82;100;488
1.83;100;493
1.84;100;494
1.85;100;491
1.86;100;493
1.87;100;495
1.88;100;495
1.89;100;503
1.9;100;500
1.91;100;498
1.92;100;497
1.93;100;501
1.94;100;487
1.95;100;496
1.96;100;509
1.97;100;503
1.98;100;509
1.99;100;502
2;100;501
2.01;100;502
2.02;100;496
2.03;100;504
2.04;100;511
2.05;100;510
2.06;100;510
2.07;100;506
2.08;100;502
2.09;100;507
2.1;100;515
2.11;100;509
2.12;100;511
2.13;100;512
2.14;100;516
2.15;100;519
2.16;100;522
2.17;100;526
2.18;100;528
2.19;100;519
2.2;100;512
2.21;100;501
2.22;100;511
2.23;100;506
2.24;100;505
2.25;100;509
2.26;100;512
2.27;100;513
2.28;100;509
2.29;100;483
2.3;100;556
2.31;100;653
2.32;100;687
2.33;100;512
2.34;100;470
2.35;100;452
2.36;100;483
2.37;100;479
2.38;100;487
2.39;100;484
2.4;100;487
2.41;100;495
2.42;100;493
2.43;100;496
2.44;100;500
2.45;100;499
2.46;100;515
2.47;100;515
2.48;100;521
2.49;100;525
2.5;100;529
2.51;100;535
2.52;100;546
2.53;100;548
2.54;100;552
2.55;100;562
2.56;100;571
2.57;100;556
2.58;100;544
2.59;100;526
2.6;100;501
2.61;100;478
2.62;100;472
2.63;100;445
2.64;100;450
2.65;100;451
2.66;100;454
2.67;100;462
2.68;100;472
2.69;100;462
2.7;100;479
2.71;100;477
2.72;100;480
2.73;100;482
2.74;100;487
2.75;100;485
2.76;100;488
2.77;100;488
2.78;100;499
2.79;100;495
2.8;100;495
2.81;100;490
2.82;100;504
2.83;100;494
2.84;100;497
2.85;100;502
2.86;100;503
2.87;100;502
2.88;100;514
2.89;100;505
2.9;100;508
2.91;100;508
2.92;100;508
2.93;100;507
2.94;100;518
2.95;100;512
2.96;100;519
2.97;100;512
2.98;100;520
2.99;100;516
3;100;512
3.01;100;512
3.02;100;521
3.03;100;511
3.04;100;516
3.05;100;519
3.06;100;520
3.07;100;508
3.08;100;512
3.09;100;506
3.1;100;500
3.11;100;500
3.12;100;499
3.13;100;506
3.14;100;506
3.15;100;496
3.16;100;492
3.17;100;489
3.18;100;568
3.19;100;658
3.2;100;671
3.21;100;482
3.22;100;465
3.23;100;466
3.24;100;476
3.25;100;483
3.26;100;487
3.27;100;487
3.28;100;497
3.29;100;496
3.3;100;499
3.31;100;504
3.32;100;507
3.33;100;508
3.34;100;514
3.35;100;509
3.36;100;524
3.37;100;520
3.38;100;534
3.39;100;539
3.4;100;547
3.41;100;553
3.42;100;559
3.43;100;569
3.44;100;563
3.45;100;561
3.46;100;546
3.47;100;524
3.48;100;509
3.49;100;488
3.5;100;469
3.51;100;452
3.52;100;455
3.53;100;455
3.54;100;467
3.55;100;468
3.56;100;471
3.57;100;470
3.58;100;475
3.59;100;480
3.6;100;486
3.61;100;485
3.62;100;483
3.63;100;494
3.64;100;501
3.65;100;495
3.66;100;495
3.67;100;493
3.68;100;502
3.69;100;495
3.7;100;498
3.71;100;501
3.72;100;509
3.73;100;503
3.74;100;506
3.75;100;502
3.76;100;504
3.77;100;512
3.78;100;512
3.79;100;505
3.8;100;511
3.81;100;508
3.82;100;512
3.83;100;515
3.84;100;512
3.85;100;511
3.86;100;516
3.87;100;511
3.88;100;517
3.89;100;519
3.9;100;526
3.91;100;518
3.92;100;513
3.93;100;513
3.94;100;516
3.95;100;510
3.96;100;513
3.97;100;516
