time;Sampling Frequency;ECG;Pulse
0;1000;519;510
0.001;1000;519;511
0.002;1000;516;513
0.003;1000;516;514
0.004;1000;516;511
0.005;1000;516;513
0.006;1000;515;511
0.007;1000;515;515
0.008;1000;515;511
0.009;1000;517;515
0.01;1000;517;512
0.011;1000;517;511
0.012;1000;518;515
0.013;1000;517;515
0.014;1000;517;514
0.015;1000;515;514
0.016;1000;515;513
0.017;1000;515;515
0.018;1000;513;515
0.019;1000;516;514
0.02;1000;520;515
0.021;1000;524;514
0.022;1000;523;514
0.023;1000;520;519
0.024;1000;520;515
0.025;1000;523;519
0.026;1000;527;515
0.027;1000;527;516
0.028;1000;527;518
0.029;1000;527;516
0.03;1000;526;515
0.031;1000;526;516
0.032;1000;526;518
0.033;1000;523;517
0.034;1000;518;517
0.035;1000;515;516
0.036;1000;519;516
0.037;1000;524;518
0.038;1000;526;516
0.039;1000;526;519
0.04;1000;527;516
0.041;1000;527;517
0.042;1000;528;519
0.043;1000;531;519
0.044;1000;531;518
0.045;1000;532;516
0.046;1000;531;516
0.047;1000;529;518
0.048;1000;528;519
0.049;1000;526;516
0.05;1000;524;517
0.051;1000;521;516
0.052;1000;517;519
0.053;1000;515;516
0.054;1000;514;521
0.055;1000;513;517
0.056;1000;512;517
0.057;1000;513;521
0.058;1000;514;518
0.059;1000;515;518
0.06;1000;516;515
0.061;1000;515;516
0.062;1000;514;518
0.063;1000;513;519
0.064;1000;513;516
0.065;1000;513;515
0.066;1000;512;516
0.067;1000;508;519
0.068;1000;508;519
0.069;1000;508;515
0.07;1000;510;520
0.071;1000;510;516
0.072;1000;508;519
0.073;1000;506;519
0.074;1000;506;517
0.075;1000;508;515
0.076;1000;508;515
0.077;1000;507;517
0.078;1000;506;517
0.079;1000;506;516
0.08;1000;509;515
0.081;1000;511;514
0.082;1000;510;516
0.083;1000;508;517
0.084;1000;504;515
0.085;1000;504;515
0.086;1000;505;516
0.087;1000;505;514
0.088;1000;507;518
0.089;1000;508;515
0.09;1000;504;513
0.091;1000;502;513
0.092;1000;508;515
0.093;1000;510;515
0.094;1000;508;513
0.095;1000;507;513
0.096;1000;508;512
0.097;1000;507;515
0.098;1000;508;515
0.099;1000;510;513
0.1;1000;511;513
0.101;1000;512;513
0.102;1000;512;512
0.103;1000;512;517
0.104;1000;514;512
0.105;1000;513;513
0.106;1000;513;512
0.107;1000;513;514
0.108;1000;513;514
0.109;1000;512;513
0.11;1000;513;511
0.111;1000;513;511
