time;SamplingFrequency;ECG;Pulse
0;100;526;508
0.01;100;514;513
0.02;100;528;517
0.03;100;520;518
0.04;100;540;523
0.05;100;530;525
0.06;100;558;526
0.07;100;532;528
0.08;100;533;525
0.09;100;520;524
0.1;100;526;524
0.11;100;519;522
0.12;100;522;519
0.13;100;517;518
0.14;100;523;516
0.15;100;521;515
0.16;100;498;511
0.17;100;496;512
0.18;100;614;510
0.19;100;769;508
0.2;100;747;507
0.21;100;503;505
0.22;100;460;507
0.23;100;453;507
0.24;100;459;509
0.25;100;460;507
0.26;100;470;510
0.27;100;478;508
0.28;100;485;509
0.29;100;486;511
0.3;100;503;512
0.31;100;490;512
0.32;100;497;515
0.33;100;502;517
0.34;100;512;515
0.35;100;510;518
0.36;100;533;517
0.37;100;526;514
0.38;100;536;514
0.39;100;540;515
0.4;100;555;515
0.41;100;559;516
0.42;100;566;521
0.43;100;550;524
0.44;100;541;527
0.45;100;510;531
0.46;100;501;536
0.47;100;470;543
0.48;100;477;544
0.49;100;464;548
0.5;100;472;547
0.51;100;466;547
0.52;100;476;543
0.53;100;466;539
0.54;100;468;534
0.55;100;485;528
0.56;100;474;521
0.57;100;473;516
0.58;100;485;513
0.59;100;476;510
0.6;100;485;506
0.61;100;483;503
0.62;100;487;499
0.63;100;482;498
0.64;100;492;498
0.65;100;482;499
0.66;100;500;501
0.67;100;498;504
0.68;100;507;503
0.69;100;496;507
0.7;100;504;510
0.71;100;497;512
0.72;100;497;512
0.73;100;511;515
0.74;100;511;519
0.75;100;505;519
0.76;100;511;519
0.77;100;506;519
0.78;100;509;519
0.79;100;507;518
0.8;100;524;518
0.81;100;506;519
0.82;100;512;519
0.83;100;515;516
0.84;100;514;513
0.85;100;504;514
0.86;100;499;511
0.87;100;498;513
0.88;100;496;513
0.89;100;492;512
0.9;100;506;512
0.91;100;491;511
0.92;100;506;513
0.93;100;479;509
0.94;100;471;511
0.95;100;532;511
0.96;100;699;509
0.97;100;790;511
0.98;100;534;512
0.99;100;454;510
1;100;441;511
1.01;100;437;513
1.02;100;452;513
1.03;100;445;511
1.04;100;466;512
1.05;100;453;510
1.06;100;480;513
1.07;100;466;511
1.08;100;481;513
1.09;100;473;514
1.1;100;492;513
1.11;100;491;514
1.12;100;499;514
1.13;100;516;516
1.14;100;524;517
1.15;100;525;516
1.16;100;540;517
1.17;100;546;515
1.18;100;559;517
1.19;100;558;520
1.2;100;556;519
1.21;100;541;524
1.22;100;527;532
1.23;100;497;534
1.24;100;481;541
1.25;100;464;543
1.26;100;467;545
1.27;100;454;544
1.28;100;456;543
1.29;100;461;543
1.3;100;466;539
1.31;100;466;537
1.32;100;463;531
1.33;100;467;524
1.34;100;478;522
1.35;100;459;515
1.36;100;470;512
1.37;100;477;504
1.38;100;488;504
1.39;100;476;499
1.4;100;491;501
1.41;100;484;498
1.42;100;491;502
1.43;100;487;499
1.44;100;494;504
1.45;100;491;505
1.46;100;505;507
1.47;100;504;508
1.48;100;512;511
1.49;100;497;510
1.5;100;510;515
1.51;100;504;515
1.52;100;514;515
1.53;100;513;515
1.54;100;512;520
1.55;100;508;519
1.56;100;513;518
1.57;100;510;517
1.58;100;514;515
1.59;100;509;513
1.6;100;513;512
1.61;100;518;513
1.62;100;518;511
1.63;100;513;513
1.64;100;509;511
1.65;100;493;510
1.66;100;503;514
1.67;100;502;512
1.68;100;504;511
1.69;100;505;510
1.7;100;514;512
1.71;100;501;509
1.72;100;496;510
1.73;100;472;510
1.74;100;558;511
1.75;100;698;508
1.76;100;770;508
1.77;100;510;512
1.78;100;471;510
1.79;100;454;512
1.8;100;464;510
1.81;100;466;511
1.82;100;477;512
1.83;100;480;513
1.84;100;491;511
1.85;100;484;510
1.86;100;501;513
1.87;100;495;514
1.88;100;503;516
1.89;100;506;516
1.9;100;518;513
1.91;100;512;513
1.92;100;526;514
1.93;100;532;515
1.94;100;541;516
1.95;100;545;513
1.96;100;557;515
1.97;100;563;518
1.98;100;569;518
1.99;100;552;523
2;100;555;524
2.01;100;525;526
2.02;100;503;534
2.03;100;477;534
2.04;100;471;538
2.05;100;456;540
2.06;100;459;544
2.07;100;456;541
2.08;100;464;540
2.09;100;463;540
2.1;100;479;537
2.11;100;473;530
2.12;100;480;527
2.13;100;465;520
2.14;100;473;515
2.15;100;471;508
2.16;100;480;503
2.17;100;475;500
2.18;100;482;502
2.19;100;484;498
2.2;100;488;500
2.21;100;481;499
2.22;100;494;502
2.23;100;495;500
2.24;100;505;504
2.25;100;496;504
2.26;100;505;507
2.27;100;500;506
2.28;100;512;512
2.29;100;502;511
2.3;100;511;514
2.31;100;511;519
2.32;100;515;518
2.33;100;508;519
2.34;100;518;523
2.35;100;515;520
2.36;100;513;521
2.37;100;504;518
2.38;100;518;519
2.39;100;519;515
2.4;100;522;514
2.41;100;519;513
2.42;100;525;515
2.43;100;503;511
2.44;100;508;512
2.45;100;504;510
2.46;100;508;509
2.47;100;507;510
2.48;100;516;508
2.49;100;510;508
2.5;100;515;507
2.51;100;479;507
2.52;100;497;510
2.53;100;617;510
2.54;100;763;511
2.55;100;680;509
2.56;100;473;512
2.57;100;464;514
2.58;100;462;516
2.59;100;465;515
2.6;100;482;518
2.61;100;474;519
2.62;100;486;518
2.63;100;481;520
2.64;100;499;517
2.65;100;488;515
2.66;100;489;518
2.67;100;496;516
2.68;100;497;514
2.69;100;500;513
2.7;100;508;512
2.71;100;512;515
2.72;100;530;511
2.73;100;533;512
2.74;100;549;513
2.75;100;551;512
2.76;100;565;514
2.77;100;560;514
2.78;100;551;519
2.79;100;534;522
2.8;100;519;528
2.81;100;489;529
2.82;100;485;537
2.83;100;463;539
2.84;100;468;544
2.85;100;460;543
2.86;100;459;547
2.87;100;459;544
2.88;100;467;540
2.89;100;470;540
2.9;100;475;533
2.91;100;472;528
2.92;100;479;525
2.93;100;473;521
2.94;100;486;514
2.95;100;479;512
2.96;100;483;505
2.97;100;478;501
2.98;100;491;501
2.99;100;484;497
3;100;495;499
3.01;100;489;496
3.02;100;499;498
3.03;100;495;503
3.04;100;504;502
3.05;100;499;506
3.06;100;505;510
3.07;100;507;510
3.08;100;513;513
3.09;100;508;514
3.1;100;518;518
3.11;100;517;519
3.12;100;518;521
3.13;100;510;520
3.14;100;519;522
3.15;100;511;519
3.16;100;522;521
3.17;100;512;519
3.18;100;520;516
3.19;100;520;515
3.2;100;523;513
3.21;100;519;514
3.22;100;514;514
3.23;100;508;512
3.24;100;507;514
3.25;100;503;509
3.26;100;512;511
3.27;100;507;508
3.28;100;516;510
3.29;100;502;508
3.3;100;482;509
3.31;100;521;512
3.32;100;656;511
3.33;100;780;509
3.34;100;644;511
3.35;100;470;509
3.36;100;460;510
3.37;100;447;513
3.38;100;460;513
3.39;100;472;513
3.4;100;482;513
3.41;100;480;511
3.42;100;488;510
3.43;100;484;511
3.44;100;500;510
3.45;100;496;510
3.46;100;507;511
3.47;100;499;510
3.48;100;513;511
3.49;100;512;509
3.5;100;527;512
3.51;100;529;509
3.52;100;550;512
3.53;100;546;511
3.54;100;562;512
3.55;100;559;516
3.56;100;564;519
3.57;100;551;522
3.58;100;543;526
3.59;100;519;530
3.6;100;496;534
3.61;100;477;540
3.62;100;467;546
3.63;100;464;548
3.64;100;467;547
3.65;100;460;547
3.66;100;466;544
3.67;100;478;542
3.68;100;477;537
3.69;100;473;534
3.7;100;480;527
3.71;100;475;521
3.72;100;483;514
3.73;100;486;509
3.74;100;489;507
3.75;100;483;502
3.76;100;486;502
3.77;100;487;497
3.78;100;495;498
3.79;100;490;496
3.8;100;499;499
3.81;100;492;499
3.82;100;505;500
3.83;100;497;502
3.84;100;506;505
3.85;100;502;508
3.86;100;513;512
3.87;100;509;513
3.88;100;517;518
3.89;100;505;519
3.9;100;508;521
3.91;100;511;523
3.92;100;514;521
3.93;100;514;521
3.94;100;516;522
3.95;100;517;520
3.96;100;534;521
3.97;100;521;517
3.98;100;520;517
3.99;100;507;513
4;100;508;513
4.01;100;504;513
4.02;100;512;512
4.03;100;497;510
4.04;100;515;510
4.05;100;504;509
4.06;100;508;510
4.07;100;481;510
4.08;100;507;512
4.09;100;624;511
4.1;100;768;511
4.11;100;685;511
4.12;100;483;511
4.13;100;454;512
4.14;100;453;511
4.15;100;461;511
4.16;100;466;510
4.17;100;468;508
4.18;100;479;508
4.19;100;480;510
4.2;100;490;510
4.21;100;491;511
4.22;100;499;511
4.23;100;496;511
4.24;100;506;511
4.25;100;508;513
4.26;100;516;513
4.27;100;519;515
4.28;100;539;513
4.29;100;535;513
4.3;100;547;515
4.31;100;563;515
4.32;100;567;515
4.33;100;558;517
4.34;100;556;520
4.35;100;543;523
4.36;100;529;528
4.37;100;489;533
4.38;100;481;537
4.39;100;469;543
4.4;100;467;543
4.41;100;463;546
4.42;100;472;544
4.43;100;466;542
4.44;100;481;541
4.45;100;476;537
4.46;100;484;531
4.47;100;481;526
4.48;100;486;522
4.49;100;486;517
4.5;100;487;514
4.51;100;491;509
4.52;100;491;507
4.53;100;489;504
4.54;100;493;500
4.55;100;492;500
4.56;100;497;497
4.57;100;490;497
4.58;100;507;498
4.59;100;495;499
4.6;100;505;501
4.61;100;496;504
4.62;100;513;507
4.63;100;511;510
4.64;100;516;512
4.65;100;506;515
4.66;100;516;518
4.67;100;512;520
4.68;100;519;521
4.69;100;522;521
4.7;100;535;522
4.71;100;519;522
4.72;100;512;522
4.73;100;497;521
4.74;100;517;523
4.75;100;510;521
4.76;100;505;519
4.77;100;507;518
4.78;100;511;515
4.79;100;504;516
4.8;100;493;512
4.81;100;487;512
4.82;100;581;510
4.83;100;716;508
4.84;100;734;508
4.85;100;472;506
4.86;100;459;507
4.87;100;455;507
4.88;100;468;508
4.89;100;472;508
4.9;100;484;508
4.91;100;486;510
4.92;100;497;512
4.93;100;490;511
4.94;100;503;512
4.95;100;505;513
4.96;100;510;512
4.97;100;512;513
4.98;100;518;514
4.99;100;517;514
5;100;524;513
5.01;100;532;513
5.02;100;542;513
5.03;100;553;512
5.04;100;573;512
5.05;100;568;512
5.06;100;571;515
5.07;100;556;519
5.08;100;554;521
5.09;100;523;525
5.1;100;500;529
5.11;100;480;533
5.12;100;474;536
5.13;100;461;542
5.14;100;458;543
5.15;100;460;545
5.16;100;472;543
5.17;100;465;541
5.18;100;472;540
5.19;100;479;535
5.2;100;489;529
5.21;100;477;525
5.22;100;490;515
5.23;100;481;512
5.24;100;487;506
5.25;100;484;503
5.26;100;489;498
5.27;100;484;495
5.28;100;488;494
5.29;100;491;497
5.3;100;499;498
