time;Sampling Frequency;Pulse
0;10;531
0.1;10;504
0.2;10;512
0.3;10;514
0.4;10;510
0.5;10;514
0.6;10;514
0.7;10;521
0.8;10;526
0.9;10;504
1;10;516
1.1;10;512
1.2;10;510
1.3;10;512
1.4;10;513
1.5;10;521
1.6;10;527
1.7;10;504
1.8;10;516
1.9;10;512
2;10;510
2.1;10;513
2.2;10;513
2.3;10;526
2.4;10;519
2.5;10;506
2.6;10;517
2.7;10;511
2.8;10;511
2.9;10;514
3;10;513
3.1;10;532
3.2;10;511
3.3;10;509
3.4;10;517
3.5;10;510
3.6;10;513
3.7;10;513
3.8;10;524
3.9;10;520
4;10;504
4.1;10;520
4.2;10;510
4.3;10;511
4.4;10;514
4.5;10;513
4.6;10;533
4.7;10;507
4.8;10;511
4.9;10;517
5;10;510
5.1;10;513
5.2;10;515
5.3;10;518
5.4;10;529
5.5;10;504
5.6;10;516
5.7;10;513
5.8;10;510
5.9;10;514
6;10;513
6.1;10;521
6.2;10;524
6.3;10;504
6.4;10;519
6.5;10;512
6.6;10;513
6.7;10;516
6.8;10;515
6.9;10;532
7;10;508
7.1;10;513
7.2;10;517
7.3;10;510
7.4;10;513
7.5;10;514
7.6;10;524
7.7;10;522
7.8;10;504
7.9;10;519
8;10;512
8.1;10;511
8.2;10;515
8.3;10;513
8.4;10;531
8.5;10;519
8.6;10;507
8.7;10;518
8.8;10;511
8.9;10;512
9;10;514
9.1;10;513
9.2;10;521
9.3;10;528
9.4;10;505
9.5;10;517
9.6;10;513
9.7;10;511
9.8;10;514
9.9;10;513
10;10;519
10.1;10;527
10.2;10;505
10.3;10;516
10.4;10;513
10.5;10;514
10.6;10;513
10.7;10;513
10.8;10;526
10.9;10;520
11;10;507
11.1;10;517
11.2;10;512
11.3;10;512
11.4;10;514
11.5;10;513
11.6;10;523
11.7;10;522
11.8;10;506
11.9;10;515
12;10;512
12.1;10;512
12.2;10;514
12.3;10;512
12.4;10;514
12.5;10;531
12.6;10;505
12.7;10;512
12.8;10;513
12.9;10;508
13;10;511
13.1;10;511
13.2;10;516
13.3;10;524
13.4;10;503
13.5;10;514
13.6;10;510
13.7;10;509
13.8;10;511
13.9;10;510
14;10;521
14.1;10;524
14.2;10;506
14.3;10;515
14.4;10;510
14.5;10;508
14.6;10;511
14.7;10;511
14.8;10;515
14.9;10;530
15;10;504
15.1;10;512
15.2;10;511
15.3;10;508
15.4;10;511
15.5;10;511
15.6;10;510
15.7;10;533
15.8;10;509
15.9;10;509
16;10;516
16.1;10;509
16.2;10;513
16.3;10;512
16.4;10;512
16.5;10;532
16.6;10;506
16.7;10;512
16.8;10;513
16.9;10;509
17;10;512
17.1;10;512
17.2;10;512
17.3;10;535
17.4;10;515
17.5;10;507
17.6;10;516
17.7;10;511
17.8;10;512
17.9;10;513
18;10;513
18.1;10;513
18.2;10;538
18.3;10;510
18.4;10;511
18.5;10;516
18.6;10;511
18.7;10;513
18.8;10;515
18.9;10;512
19;10;521
19.1;10;528
19.2;10;505
19.3;10;516
19.4;10;511
19.5;10;515
19.6;10;515
19.7;10;514
19.8;10;515
19.9;10;534
20;10;508
20.1;10;512
20.2;10;516
20.3;10;510
20.4;10;513
20.5;10;514
20.6;10;513
20.7;10;517
20.8;10;531
20.9;10;506
21;10;514
21.1;10;514
21.2;10;511
21.3;10;512
21.4;10;513
21.5;10;512
21.6;10;515
21.7;10;531
21.8;10;505
21.9;10;512
22;10;514
22.1;10;510
22.2;10;513
22.3;10;512
22.4;10;512
22.5;10;529
22.6;10;513
22.7;10;508
22.8;10;517
22.9;10;510
23;10;512
23.1;10;513
23.2;10;511
23.3;10;529
23.4;10;512
23.5;10;508
23.6;10;517
23.7;10;511
23.8;10;512
23.9;10;513
24;10;512
24.1;10;522
24.2;10;522
24.3;10;506
24.4;10;515
24.5;10;512
24.6;10;511
24.7;10;514
24.8;10;512
24.9;10;513
25;10;532
25.1;10;510
25.2;10;510
25.3;10;516
25.4;10;511
25.5;10;513
25.6;10;513
25.7;10;512
25.8;10;527
25.9;10;513
26;10;508
26.1;10;517
26.2;10;511
26.3;10;512
26.4;10;513
26.5;10;513
26.6;10;520
26.7;10;523
26.8;10;506
26.9;10;515
27;10;512
27.1;10;511
27.2;10;513
27.3;10;513
27.4;10;512
27.5;10;526
27.6;10;517
27.7;10;508
27.8;10;515
27.9;10;511
28;10;507
28.1;10;516
28.2;10;515
28.3;10;511
28.4;10;527
28.5;10;515
28.6;10;508
28.7;10;516
28.8;10;511
28.9;10;512
29;10;514
29.1;10;512
29.2;10;525
29.3;10;516
29.4;10;508
29.5;10;516
29.6;10;511
29.7;10;512
29.8;10;513
29.9;10;513
30;10;517
30.1;10;527
30.2;10;508
30.3;10;514
30.4;10;513
30.5;10;512
30.6;10;514
30.7;10;513
30.8;10;512
30.9;10;527
31;10;517
31.1;10;509
31.2;10;516
31.3;10;513
31.4;10;512
31.5;10;514
31.6;10;512
31.7;10;525
31.8;10;519
31.9;10;507
32;10;516
32.1;10;512
32.2;10;512
32.3;10;513
32.4;10;512
32.5;10;513
32.6;10;532
32.7;10;513
32.8;10;510
32.9;10;516
33;10;512
33.1;10;511
33.2;10;514
33.3;10;513
33.4;10;513
33.5;10;527
33.6;10;520
33.7;10;508
33.8;10;516
33.9;10;512
34;10;512
34.1;10;514
34.2;10;513
34.3;10;517
34.4;10;529
34.5;10;507
34.6;10;515
34.7;10;515
34.8;10;510
34.9;10;514
35;10;514
35.1;10;514
35.2;10;534
35.3;10;510
35.4;10;512
35.5;10;515
35.6;10;511
35.7;10;514
35.8;10;514
35.9;10;512
36;10;528
36.1;10;521
36.2;10;508
36.3;10;516
36.4;10;513
36.5;10;513
36.6;10;515
36.7;10;513
36.8;10;527
36.9;10;523
37;10;508
37.1;10;518
37.2;10;513
