time;SamplingFrequency;Pulse
0;10;504
0.1;10;515
0.2;10;511
0.3;10;509
0.4;10;512
0.5;10;513
0.6;10;511
0.7;10;531
0.8;10;519
0.9;10;505
1;10;515
1.1;10;509
1.2;10;510
1.3;10;511
1.4;10;511
1.5;10;511
1.6;10;535
1.7;10;511
1.8;10;507
1.9;10;515
2;10;508
2.1;10;510
2.2;10;512
2.3;10;510
2.4;10;527
2.5;10;519
2.6;10;504
2.7;10;515
2.8;10;508
2.9;10;509
3;10;512
3.1;10;511
3.2;10;519
3.3;10;525
3.4;10;504
3.5;10;514
3.6;10;514
3.7;10;510
3.8;10;512
3.9;10;513
4;10;514
4.1;10;533
4.2;10;505
4.3;10;514
4.4;10;514
4.5;10;510
4.6;10;513
4.7;10;513
4.8;10;512
4.9;10;535
5;10;510
5.1;10;511
5.2;10;515
5.3;10;510
5.4;10;512
5.5;10;514
5.6;10;513
5.7;10;532
5.8;10;508
5.9;10;512
6;10;516
6.1;10;509
6.2;10;513
6.3;10;514
6.4;10;518
6.5;10;528
6.6;10;506
6.7;10;515
6.8;10;513
6.9;10;510
7;10;513
7.1;10;513
7.2;10;523
7.3;10;524
7.4;10;506
7.5;10;516
7.6;10;512
7.7;10;508
7.8;10;518
7.9;10;513
8;10;519
8.1;10;527
8.2;10;507
8.3;10;516
8.4;10;513
8.5;10;512
8.6;10;514
8.7;10;513
8.8;10;524
8.9;10;522
9;10;506
9.1;10;517
9.2;10;511
9.3;10;512
9.4;10;514
9.5;10;514
9.6;10;522
9.7;10;529
9.8;10;508
9.9;10;515
10;10;513
10.1;10;511
10.2;10;515
10.3;10;513
10.4;10;513
10.5;10;535
10.6;10;508
10.7;10;512
10.8;10;515
10.9;10;511
11;10;514
11.1;10;513
11.2;10;514
11.3;10;532
11.4;10;514
11.5;10;509
11.6;10;518
11.7;10;511
11.8;10;513
11.9;10;515
12;10;513
12.1;10;533
12.2;10;512
12.3;10;510
12.4;10;516
12.5;10;512
12.6;10;513
12.7;10;514
12.8;10;513
12.9;10;530
13;10;518
13.1;10;507
13.2;10;518
13.3;10;512
13.4;10;512
13.5;10;514
13.6;10;513
13.7;10;522
13.8;10;525
13.9;10;506
14;10;517
14.1;10;513
14.2;10;512
14.3;10;514
14.4;10;512
14.5;10;528
14.6;10;516
14.7;10;507
14.8;10;518
14.9;10;511
15;10;512
15.1;10;514
15.2;10;512
15.3;10;534
15.4;10;512
15.5;10;509
15.6;10;516
15.7;10;510
15.8;10;512
15.9;10;512
16;10;511
16.1;10;533
16.2;10;507
16.3;10;510
16.4;10;513
16.5;10;509
16.6;10;512
16.7;10;511
16.8;10;513
16.9;10;530
17;10;505
17.1;10;512
17.2;10;512
17.3;10;509
17.4;10;512
17.5;10;510
17.6;10;525
17.7;10;516
17.8;10;504
17.9;10;514
18;10;508
18.1;10;509
18.2;10;511
18.3;10;510
18.4;10;531
18.5;10;512
18.6;10;507
18.7;10;514
18.8;10;508
18.9;10;511
19;10;511
19.1;10;511
19.2;10;529
19.3;10;512
19.4;10;507
19.5;10;515
19.6;10;510
19.7;10;512
19.8;10;511
19.9;10;512
20;10;531
20.1;10;508
20.2;10;511
20.3;10;515
20.4;10;509
20.5;10;512
20.6;10;513
20.7;10;512
20.8;10;535
20.9;10;512
21;10;510
21.1;10;516
21.2;10;511
21.3;10;513
21.4;10;513
21.5;10;512
21.6;10;526
21.7;10;525
21.8;10;507
21.9;10;516
22;10;512
22.1;10;512
22.2;10;514
22.3;10;513
22.4;10;514
22.5;10;537
22.6;10;512
22.7;10;514
22.8;10;516
22.9;10;512
23;10;513
23.1;10;514
23.2;10;515
23.3;10;536
23.4;10;512
23.5;10;511
23.6;10;516
23.7;10;510
23.8;10;513
23.9;10;514
24;10;512
24.1;10;528
24.2;10;521
24.3;10;507
24.4;10;516
24.5;10;512
24.6;10;510
24.7;10;513
24.8;10;512
24.9;10;513
25;10;535
25.1;10;508
25.2;10;509
25.3;10;517
25.4;10;509
25.5;10;512
25.6;10;511
25.7;10;513
25.8;10;531
25.9;10;505
26;10;512
26.1;10;514
26.2;10;509
26.3;10;513
26.4;10;512
26.5;10;515
26.6;10;533
26.7;10;506
26.8;10;512
26.9;10;514
27;10;510
27.1;10;512
27.2;10;511
27.3;10;514
27.4;10;532
27.5;10;508
27.6;10;512
27.7;10;514
27.8;10;510
27.9;10;512
28;10;513
28.1;10;513
28.2;10;531
28.3;10;506
28.4;10;513
28.5;10;513
28.6;10;509
28.7;10;513
28.8;10;512
28.9;10;521
29;10;521
29.1;10;505
29.2;10;515
29.3;10;512
29.4;10;511
29.5;10;513
29.6;10;511
29.7;10;519
29.8;10;526
29.9;10;505
30;10;514
30.1;10;512
30.2;10;510
30.3;10;513
30.4;10;511
30.5;10;512
30.6;10;531
30.7;10;512
30.8;10;508
30.9;10;516
31;10;511
31.1;10;512
31.2;10;513
31.3;10;513
31.4;10;524
31.5;10;519
31.6;10;506
31.7;10;516
31.8;10;511
31.9;10;512
32;10;513
32.1;10;512
32.2;10;519
32.3;10;525
32.4;10;506
32.5;10;515
32.6;10;512
32.7;10;511
32.8;10;513
32.9;10;513
33;10;513
33.1;10;531
33.2;10;508
33.3;10;512
33.4;10;515
33.5;10;511
33.6;10;512
33.7;10;513
33.8;10;512
33.9;10;527
34;10;516
34.1;10;507
34.2;10;517
