time;Sampling Frequency;ECG
0;10;437
0.1;10;488
0.2;10;508
0.3;10;501
0.4;10;517
0.5;10;499
0.6;10;454
0.7;10;499
0.8;10;551
0.9;10;446
1;10;495
1.1;10;512
1.2;10;518
1.3;10;507
1.4;10;473
1.5;10;507
1.6;10;559
1.7;10;448
1.8;10;497
1.9;10;506
2;10;500
2.1;10;502
2.2;10;483
2.3;10;518
2.4;10;496
2.5;10;483
2.6;10;503
2.7;10;515
2.8;10;498
2.9;10;465
3;10;506
3.1;10;555
3.2;10;447
3.3;10;495
3.4;10;507
3.5;10;508
3.6;10;488
3.7;10;496
3.8;10;525
3.9;10;522
4;10;484
4.1;10;507
4.2;10;509
4.3;10;501
4.4;10;616
4.5;10;487
4.6;10;526
4.7;10;472
4.8;10;481
4.9;10;505
5;10;507
5.1;10;529
5.2;10;513
5.3;10;463
5.4;10;510
5.5;10;544
5.6;10;462
5.7;10;512
5.8;10;512
5.9;10;519
6;10;507
6.1;10;536
6.2;10;509
6.3;10;553
6.4;10;441
6.5;10;486
6.6;10;516
6.7;10;515
6.8;10;511
6.9;10;470
7;10;508
7.1;10;578
7.2;10;467
7.3;10;499
7.4;10;514
7.5;10;489
7.6;10;573
7.7;10;493
7.8;10;531
7.9;10;475
8;10;487
8.1;10;518
8.2;10;506
8.3;10;515
8.4;10;472
8.5;10;505
8.6;10;557
8.7;10;458
8.8;10;491
8.9;10;496
9;10;521
9.1;10;507
9.2;10;467
9.3;10;514
9.4;10;564
9.5;10;464
9.6;10;507
9.7;10;508
9.8;10;516
9.9;10;508
10;10;611
10.1;10;494
10.2;10;547
10.3;10;441
10.4;10;480
10.5;10;507
10.6;10;505
10.7;10;514
10.8;10;495
10.9;10;484
11;10;515
11.1;10;523
11.2;10;467
11.3;10;502
11.4;10;504
11.5;10;516
11.6;10;512
11.7;10;477
11.8;10;516
11.9;10;547
12;10;441
12.1;10;494
12.2;10;506
12.3;10;497
12.4;10;492
12.5;10;481
12.6;10;502
12.7;10;532
12.8;10;474
12.9;10;501
13;10;488
13.1;10;499
13.2;10;670
13.3;10;497
13.4;10;540
13.5;10;458
13.6;10;490
13.7;10;504
13.8;10;509
13.9;10;508
14;10;481
14.1;10;509
14.2;10;560
14.3;10;450
14.4;10;492
14.5;10;508
14.6;10;510
14.7;10;500
14.8;10;644
14.9;10;487
15;10;529
15.1;10;472
15.2;10;481
15.3;10;502
15.4;10;506
15.5;10;526
15.6;10;503
15.7;10;486
15.8;10;516
15.9;10;558
16;10;455
16.1;10;486
16.2;10;506
16.3;10;510
16.4;10;502
16.5;10;466
16.6;10;502
16.7;10;558
16.8;10;452
16.9;10;490
17;10;494
17.1;10;524
17.2;10;512
17.3;10;480
17.4;10;522
17.5;10;556
17.6;10;455
17.7;10;499
17.8;10;507
17.9;10;503
18;10;676
18.1;10;485
18.2;10;536
18.3;10;458
18.4;10;491
18.5;10;496
18.6;10;519
18.7;10;506
18.8;10;479
18.9;10;518
19;10;550
19.1;10;464
19.2;10;503
19.3;10;508
19.4;10;498
19.5;10;522
19.6;10;488
19.7;10;521
19.8;10;484
19.9;10;473
20;10;496
20.1;10;512
20.2;10;516
20.3;10;498
20.4;10;469
20.5;10;512
20.6;10;567
20.7;10;463
20.8;10;485
20.9;10;504
21;10;514
21.1;10;509
21.2;10;700
21.3;10;498
21.4;10;537
21.5;10;457
21.6;10;478
21.7;10;496
21.8;10;508
21.9;10;516
22;10;508
22.1;10;460
22.2;10;514
22.3;10;551
22.4;10;458
22.5;10;504
22.6;10;513
22.7;10;511
22.8;10;499
22.9;10;480
23;10;522
23.1;10;540
23.2;10;473
23.3;10;501
23.4;10;503
23.5;10;503
23.6;10;679
23.7;10;512
23.8;10;542
23.9;10;456
24;10;491
24.1;10;505
24.2;10;506
24.3;10;504
24.4;10;475
24.5;10;507
24.6;10;553
24.7;10;460
24.8;10;492
24.9;10;518
25;10;512
25.1;10;480
25.2;10;490
25.3;10;516
25.4;10;508
25.5;10;472
25.6;10;506
25.7;10;512
25.8;10;507
25.9;10;502
26;10;486
26.1;10;527
26.2;10;480
26.3;10;481
26.4;10;502
26.5;10;504
26.6;10;516
26.7;10;502
26.8;10;480
26.9;10;515
27;10;508
27.1;10;475
27.2;10;506
27.3;10;500
27.4;10;514
27.5;10;522
27.6;10;473
27.7;10;507
27.8;10;546
27.9;10;435
28;10;494
28.1;10;510
28.2;10;512
28.3;10;505
28.4;10;476
28.5;10;511
28.6;10;564
28.7;10;456
28.8;10;499
28.9;10;497
29;10;521
29.1;10;504
29.2;10;472
29.3;10;513
29.4;10;562
29.5;10;448
29.6;10;505
29.7;10;515
29.8;10;519
29.9;10;512
30;10;475
30.1;10;500
30.2;10;548
30.3;10;447
30.4;10;495
30.5;10;516
30.6;10;508
30.7;10;521
30.8;10;497
30.9;10;459
31;10;513
31.1;10;556
31.2;10;462
31.3;10;497
31.4;10;504
31.5;10;514
31.6;10;529
31.7;10;506
31.8;10;474
31.9;10;515
32;10;538
32.1;10;464
32.2;10;489
32.3;10;512
32.4;10;507
32.5;10;518
32.6;10;497
32.7;10;487
32.8;10;523
32.9;10;504
33;10;481
33.1;10;496
33.2;10;510
33.3;10;510
33.4;10;493
33.5;10;493
33.6;10;528
33.7;10;536
33.8;10;469
33.9;10;502
34;10;504
34.1;10;503
34.2;10;567
34.3;10;497
34.4;10;534
34.5;10;476
34.6;10;481
34.7;10;509
34.8;10;504
34.9;10;500
35;10;680
35.1;10;499
35.2;10;542
35.3;10;459
35.4;10;489
35.5;10;506
35.6;10;507
35.7;10;496
35.8;10;702
35.9;10;504
36;10;558
36.1;10;450
36.2;10;492
36.3;10;506
36.4;10;510
36.5;10;504
36.6;10;659
36.7;10;487
36.8;10;546
36.9;10;477
37;10;492
37.1;10;506
37.2;10;507
37.3;10;495
37.4;10;489
37.5;10;482
37.6;10;516
37.7;10;537
37.8;10;473
37.9;10;504
38;10;505
38.1;10;513
38.2;10;518
38.3;10;463
38.4;10;502
38.5;10;565
38.6;10;450
38.7;10;493
38.8;10;514
38.9;10;526
39;10;515
39.1;10;476
39.2;10;517
39.3;10;582
39.4;10;448
39.5;10;496
39.6;10;502
39.7;10;489
39.8;10;486
39.9;10;515
