time;Sampling Frequency;ECG;Pulse
0;1000;511;514
0.001;1000;509;516
0.002;1000;507;516
0.003;1000;504;515
0.004;1000;503;516
0.005;1000;503;515
0.006;1000;504;517
0.007;1000;505;518
0.008;1000;505;517
0.009;1000;505;514
0.01;1000;505;517
0.011;1000;502;519
0.012;1000;499;518
0.013;1000;503;518
0.014;1000;509;515
0.015;1000;512;518
0.016;1000;512;519
0.017;1000;508;520
0.018;1000;508;518
0.019;1000;509;518
0.02;1000;508;519
0.021;1000;503;521
0.022;1000;499;519
0.023;1000;495;524
0.024;1000;492;518
0.025;1000;488;520
0.026;1000;486;522
0.027;1000;484;520
0.028;1000;481;521
0.029;1000;478;518
0.03;1000;480;520
0.031;1000;480;522
0.032;1000;481;522
0.033;1000;488;522
0.034;1000;493;522
0.035;1000;498;521
0.036;1000;504;523
0.037;1000;511;520
0.038;1000;519;525
0.039;1000;531;519
0.04;1000;543;523
0.041;1000;555;525
0.042;1000;565;521
0.043;1000;575;523
0.044;1000;584;519
0.045;1000;598;521
0.046;1000;615;523
0.047;1000;632;523
0.048;1000;649;521
0.049;1000;664;523
0.05;1000;678;521
0.051;1000;693;523
0.052;1000;707;523
0.053;1000;717;522
0.054;1000;728;523
0.055;1000;738;521
0.056;1000;746;520
0.057;1000;756;526
0.058;1000;767;521
0.059;1000;772;525
0.06;1000;771;522
0.061;1000;768;524
0.062;1000;764;524
0.063;1000;758;522
0.064;1000;743;520
0.065;1000;722;522
0.066;1000;697;521
0.067;1000;670;525
0.068;1000;638;524
0.069;1000;605;522
0.07;1000;575;525
0.071;1000;551;523
0.072;1000;531;523
0.073;1000;515;522
0.074;1000;499;519
0.075;1000;485;521
0.076;1000;477;523
0.077;1000;470;521
0.078;1000;466;521
0.079;1000;463;519
0.08;1000;459;521
0.081;1000;454;522
0.082;1000;449;521
0.083;1000;446;521
0.084;1000;450;519
0.085;1000;454;520
0.086;1000;459;524
0.087;1000;460;519
0.088;1000;456;522
0.089;1000;452;517
0.09;1000;450;519
0.091;1000;449;522
0.092;1000;450;519
0.093;1000;451;518
0.094;1000;454;516
0.095;1000;458;517
0.096;1000;460;518
0.097;1000;460;519
0.098;1000;462;518
0.099;1000;462;518
0.1;1000;461;517
0.101;1000;463;518
0.102;1000;463;516
0.103;1000;463;521
0.104;1000;461;515
0.105;1000;459;516
0.106;1000;460;520
0.107;1000;461;515
0.108;1000;462;517
0.109;1000;461;517
0.11;1000;458;515
0.111;1000;461;516
0.112;1000;465;517
0.113;1000;468;515
0.114;1000;470;513
0.115;1000;470;515
0.116;1000;470;517
0.117;1000;471;517
0.118;1000;466;516
0.119;1000;464;513
0.12;1000;463;515
0.121;1000;462;516
0.122;1000;462;514
0.123;1000;463;518
0.124;1000;465;513
0.125;1000;467;515
0.126;1000;465;517
0.127;1000;467;516
0.128;1000;469;517
0.129;1000;472;513
0.13;1000;472;515
0.131;1000;472;516
0.132;1000;473;515
0.133;1000;475;515
0.134;1000;476;517
0.135;1000;478;515
0.136;1000;477;516
0.137;1000;476;517
0.138;1000;477;514
0.139;1000;479;512
0.14;1000;480;514
0.141;1000;480;515
0.142;1000;478;515
0.143;1000;477;513
0.144;1000;476;515
0.145;1000;477;513
0.146;1000;478;514
0.147;1000;480;515
0.148;1000;483;513
0.149;1000;486;512
0.15;1000;486;514
0.151;1000;484;512
0.152;1000;482;516
0.153;1000;483;514
0.154;1000;483;510
0.155;1000;485;513
0.156;1000;487;513
0.157;1000;488;513
0.158;1000;488;512
0.159;1000;489;512
0.16;1000;488;511
0.161;1000;485;513
0.162;1000;483;513
0.163;1000;482;512
0.164;1000;482;513
0.165;1000;481;511
0.166;1000;481;511
0.167;1000;481;515
0.168;1000;481;511
0.169;1000;485;514
0.17;1000;488;511
0.171;1000;491;513
0.172;1000;494;513
0.173;1000;494;511
0.174;1000;492;509
0.175;1000;492;511
0.176;1000;494;512
0.177;1000;495;512
0.178;1000;493;514
0.179;1000;495;509
0.18;1000;498;511
0.181;1000;497;512
0.182;1000;496;513
0.183;1000;499;512
0.184;1000;502;509
0.185;1000;503;511
0.186;1000;502;515
0.187;1000;504;510
0.188;1000;505;514
0.189;1000;505;508
0.19;1000;506;511
0.191;1000;508;512
0.192;1000;508;512
0.193;1000;506;511
0.194;1000;506;512
0.195;1000;508;510
0.196;1000;505;510
0.197;1000;503;514
0.198;1000;504;512
0.199;1000;507;515
0.2;1000;510;511
0.201;1000;509;514
0.202;1000;506;512
0.203;1000;507;510
0.204;1000;508;510
0.205;1000;508;512
0.206;1000;510;511
0.207;1000;512;509
0.208;1000;514;511
0.209;1000;513;509
0.21;1000;515;510
0.211;1000;516;512
0.212;1000;514;512
0.213;1000;513;511
0.214;1000;514;509
0.215;1000;514;511
0.216;1000;513;511
0.217;1000;516;515
0.218;1000;517;512
0.219;1000;513;509
0.22;1000;508;511
0.221;1000;507;512
0.222;1000;510;512
0.223;1000;513;511
0.224;1000;515;511
0.225;1000;518;510
0.226;1000;516;510
0.227;1000;514;513
0.228;1000;515;513
0.229;1000;518;512
0.23;1000;520;513
0.231;1000;523;512
0.232;1000;524;512
0.233;1000;524;512
0.234;1000;524;509
0.235;1000;524;511
0.236;1000;526;511
0.237;1000;528;511
0.238;1000;528;511
0.239;1000;528;507
0.24;1000;530;510
0.241;1000;531;511
0.242;1000;531;512
0.243;1000;533;511
0.244;1000;536;508
0.245;1000;535;510
0.246;1000;534;514
0.247;1000;534;510
0.248;1000;534;512
0.249;1000;535;507
0.25;1000;536;510
0.251;1000;538;512
0.252;1000;540;511
0.253;1000;539;510
0.254;1000;539;507
0.255;1000;537;510
0.256;1000;538;511
0.257;1000;541;511
0.258;1000;547;511
0.259;1000;548;511
0.26;1000;547;510
0.261;1000;548;511
0.262;1000;551;509
0.263;1000;551;514
0.264;1000;551;508
0.265;1000;550;510
0.266;1000;551;514
0.267;1000;552;512
0.268;1000;551;511
0.269;1000;552;512
0.27;1000;553;512
0.271;1000;552;512
0.272;1000;553;512
0.273;1000;556;511
0.274;1000;558;508
0.275;1000;562;511
0.276;1000;563;513
0.277;1000;563;513
0.278;1000;564;512
0.279;1000;567;513
0.28;1000;568;512
0.281;1000;564;514
0.282;1000;559;514
0.283;1000;555;513
0.284;1000;553;513
0.285;1000;554;512
0.286;1000;557;514
0.287;1000;561;515
0.288;1000;560;514
0.289;1000;563;515
0.29;1000;565;514
0.291;1000;566;516
0.292;1000;567;516
0.293;1000;568;516
0.294;1000;568;516
0.295;1000;571;515
0.296;1000;572;518
0.297;1000;570;516
0.298;1000;562;515
0.299;1000;556;515
0.3;1000;556;514
