time;SamplingFrequency;ECG;Pulse
0;1000;26.302;-1.0254
0.001;1000;25.863;-0.7932
0.002;1000;25.433;-0.55535
0.003;1000;25.027;-0.31224
0.004;1000;24.656;-0.06425
0.005;1000;24.332;0.18822
0.006;1000;24.067;0.44478
0.007;1000;23.871;0.70499
0.008;1000;23.755;0.96843
0.009;1000;23.727;1.2347
0.01;1000;23.797;1.5032
0.011;1000;23.972;1.7737
0.012;1000;24.259;2.0455
0.013;1000;24.666;2.3183
0.014;1000;25.197;2.5916
0.015;1000;25.857;2.8649
0.016;1000;26.65;3.1377
0.017;1000;27.58;3.4096
0.018;1000;28.648;3.6801
0.019;1000;29.857;3.9488
0.02;1000;31.207;4.2152
0.021;1000;32.698;4.4788
0.022;1000;34.33;4.7392
0.023;1000;36.101;4.9961
0.024;1000;38.008;5.2489
0.025;1000;40.049;5.4973
0.026;1000;42.221;5.741
0.027;1000;44.519;5.9794
0.028;1000;46.938;6.2124
0.029;1000;49.474;6.4395
0.03;1000;52.12;6.6604
0.031;1000;54.869;6.8748
0.032;1000;57.716;7.0825
0.033;1000;60.652;7.2832
0.034;1000;63.67;7.4766
0.035;1000;66.762;7.6626
0.036;1000;69.919;7.8409
0.037;1000;73.133;8.0113
0.038;1000;76.395;8.1738
0.039;1000;79.696;8.3281
0.04;1000;83.027;8.4741
0.041;1000;86.377;8.6118
0.042;1000;89.739;8.7412
0.043;1000;93.101;8.862
0.044;1000;96.455;8.9744
0.045;1000;99.791;9.0783
0.046;1000;103.1;9.1738
0.047;1000;106.37;9.2608
0.048;1000;109.6;9.3394
0.049;1000;112.77;9.4097
0.05;1000;115.88;9.4718
0.051;1000;118.91;9.5258
0.052;1000;121.87;9.5719
0.053;1000;124.73;9.61
0.054;1000;127.5;9.6405
0.055;1000;130.17;9.6635
0.056;1000;132.72;9.6792
0.057;1000;135.16;9.6877
0.058;1000;137.48;9.6893
0.059;1000;139.67;9.6842
0.06;1000;141.72;9.6726
0.061;1000;143.63;9.6549
0.062;1000;145.41;9.6311
0.063;1000;147.03;9.6016
0.064;1000;148.51;9.5666
0.065;1000;149.84;9.5264
0.066;1000;151.02;9.4813
0.067;1000;152.05;9.4316
0.068;1000;152.92;9.3774
0.069;1000;153.63;9.3192
0.07;1000;154.2;9.2572
0.071;1000;154.62;9.1916
0.072;1000;154.89;9.1228
0.073;1000;155.01;9.051
0.074;1000;154.99;8.9765
0.075;1000;154.84;8.8996
0.076;1000;154.56;8.8206
0.077;1000;154.15;8.7397
0.078;1000;153.62;8.6571
0.079;1000;152.98;8.5732
0.08;1000;152.24;8.4882
0.081;1000;151.4;8.4023
0.082;1000;150.47;8.3157
0.083;1000;149.47;8.2288
0.084;1000;148.39;8.1417
0.085;1000;147.27;8.0546
0.086;1000;146.09;7.9677
0.087;1000;144.88;7.8812
0.088;1000;143.65;7.7954
0.089;1000;142.41;7.7103
0.09;1000;141.16;7.6261
0.091;1000;139.94;7.543
0.092;1000;138.73;7.4612
0.093;1000;137.57;7.3807
0.094;1000;136.46;7.3017
0.095;1000;135.41;7.2243
0.096;1000;134.44;7.1485
0.097;1000;133.56;7.0745
0.098;1000;132.79;7.0023
0.099;1000;132.12;6.9321
0.1;1000;131.59;6.8638
0.101;1000;131.19;6.7975
0.102;1000;130.94;6.7332
0.103;1000;130.85;6.6709
0.104;1000;130.93;6.6107
0.105;1000;131.19;6.5526
0.106;1000;131.63;6.4965
0.107;1000;132.26;6.4424
0.108;1000;133.1;6.3902
0.109;1000;134.15;6.3401
0.11;1000;135.4;6.2918
0.111;1000;136.87;6.2454
0.112;1000;138.56;6.2007
0.113;1000;140.47;6.1578
0.114;1000;142.6;6.1165
0.115;1000;144.96;6.0767
0.116;1000;147.53;6.0384
0.117;1000;150.31;6.0015
0.118;1000;153.31;5.9658
0.119;1000;156.52;5.9313
0.12;1000;159.92;5.8978
0.121;1000;163.52;5.8652
0.122;1000;167.31;5.8335
0.123;1000;171.26;5.8025
0.124;1000;175.38;5.772
0.125;1000;179.65;5.7421
0.126;1000;184.06;5.7124
0.127;1000;188.59;5.683
0.128;1000;193.23;5.6537
0.129;1000;197.96;5.6244
0.13;1000;202.76;5.5949
0.131;1000;207.62;5.5652
0.132;1000;212.52;5.5351
0.133;1000;217.44;5.5046
0.134;1000;222.36;5.4735
0.135;1000;227.25;5.4417
0.136;1000;232.11;5.4091
0.137;1000;236.9;5.3757
0.138;1000;241.61;5.3413
0.139;1000;246.21;5.3059
0.14;1000;250.69;5.2693
0.141;1000;255.02;5.2316
0.142;1000;259.19;5.1926
0.143;1000;263.17;5.1523
0.144;1000;266.95;5.1107
0.145;1000;270.5;5.0676
0.146;1000;273.8;5.0231
0.147;1000;276.85;4.9771
0.148;1000;279.62;4.9297
0.149;1000;282.09;4.8807
0.15;1000;284.26;4.8301
0.151;1000;286.11;4.7781
0.152;1000;287.62;4.7245
0.153;1000;288.79;4.6694
0.154;1000;289.61;4.6128
0.155;1000;290.06;4.5547
0.156;1000;290.15;4.4951
0.157;1000;289.86;4.4342
0.158;1000;289.19;4.3718
0.159;1000;288.15;4.3082
0.16;1000;286.72;4.2432
0.161;1000;284.92;4.177
