time;SamplingFrequency;ECG
0;1000;497
0.001;1000;502
0.0020001;1000;505
0.0030001;1000;511
0.0040001;1000;514
0.0050001;1000;516
0.0060002;1000;514
0.0070002;1000;512
0.0080002;1000;507
0.0090002;1000;505
0.01;1000;504
0.011;1000;506
0.012;1000;507
0.013;1000;506
0.014;1000;506
0.015;1000;508
0.016;1000;502
0.017;1000;498
0.018;1000;499
0.019;1000;498
0.020001;1000;498
0.021001;1000;496
0.022001;1000;497
0.023001;1000;498
0.024001;1000;500
0.025001;1000;499
0.026001;1000;496
0.027001;1000;498
0.028001;1000;501
0.029001;1000;504
0.030001;1000;506
0.031001;1000;503
0.032001;1000;496
0.033001;1000;498
0.034001;1000;503
0.035001;1000;510
0.036001;1000;509
0.037001;1000;509
0.038001;1000;508
0.039001;1000;510
0.040001;1000;507
0.041001;1000;504
0.042001;1000;503
0.043001;1000;504
0.044001;1000;511
0.045001;1000;516
0.046001;1000;520
0.047001;1000;521
0.048001;1000;515
0.049001;1000;512
0.050001;1000;509
0.051001;1000;505
0.052001;1000;500
0.053001;1000;492
0.054001;1000;484
0.055001;1000;487
0.056001;1000;491
0.057001;1000;497
0.058001;1000;502
0.059001;1000;504
0.060002;1000;510
0.061002;1000;514
0.062002;1000;512
0.063002;1000;512
0.064002;1000;511
0.065002;1000;512
0.066002;1000;517
0.067002;1000;521
0.068002;1000;524
0.069002;1000;524
0.070002;1000;521
0.071002;1000;519
0.072002;1000;522
0.073002;1000;528
0.074002;1000;534
0.075002;1000;533
0.076002;1000;528
0.077002;1000;527
0.078002;1000;525
0.079002;1000;519
0.080002;1000;516
0.081002;1000;510
0.082002;1000;503
0.083002;1000;503
0.084002;1000;507
0.085002;1000;516
0.086002;1000;523
0.087002;1000;526
0.088002;1000;532
0.089002;1000;533
0.090002;1000;526
0.091002;1000;528
0.092002;1000;523
0.093002;1000;510
0.094002;1000;501
0.095002;1000;499
0.096002;1000;495
0.097002;1000;493
0.098002;1000;498
0.099002;1000;499
0.1;1000;496
0.101;1000;494
0.102;1000;492
0.103;1000;494
0.104;1000;504
0.105;1000;513
0.106;1000;522
0.107;1000;527
0.108;1000;525
0.109;1000;519
0.11;1000;511
0.111;1000;509
0.112;1000;508
0.113;1000;506
0.114;1000;506
0.115;1000;503
0.116;1000;500
0.117;1000;497
0.118;1000;497
0.119;1000;499
0.12;1000;499
0.121;1000;496
0.122;1000;494
0.123;1000;497
0.124;1000;498
0.125;1000;502
0.126;1000;515
0.127;1000;517
0.128;1000;512
0.129;1000;510
0.13;1000;509
0.131;1000;511
0.132;1000;511
0.133;1000;507
0.134;1000;502
0.135;1000;498
0.136;1000;499
0.137;1000;502
0.138;1000;502
0.139;1000;499
0.14;1000;502
0.141;1000;505
0.142;1000;512
0.143;1000;518
0.144;1000;523
0.145;1000;517
0.146;1000;515
0.147;1000;524
0.148;1000;532
0.149;1000;530
0.15;1000;523
0.151;1000;518
0.152;1000;514
0.153;1000;506
0.154;1000;502
0.155;1000;500
0.156;1000;492
0.157;1000;487
0.158;1000;489
0.159;1000;494
0.16;1000;496
0.161;1000;497
0.162;1000;497
0.163;1000;495
0.164;1000;496
0.165;1000;494
0.166;1000;499
0.167;1000;504
0.168;1000;511
0.169;1000;514
0.17;1000;516
0.171;1000;514
0.172;1000;510
0.173;1000;503
0.174;1000;498
0.175;1000;494
0.176;1000;494
0.177;1000;496
0.178;1000;496
0.179;1000;494
0.18;1000;496
0.181;1000;496
0.182;1000;503
0.183;1000;509
0.184;1000;515
0.185;1000;516
0.186;1000;518
0.187;1000;519
0.188;1000;518
0.189;1000;511
0.19;1000;508
0.191;1000;503
0.192;1000;504
0.193;1000;511
0.194;1000;516
0.195;1000;520
0.196;1000;518
0.197;1000;511
0.198;1000;508
0.199;1000;504
0.20001;1000;497
0.20101;1000;493
0.20201;1000;499
0.20301;1000;505
0.20401;1000;503
0.20501;1000;496
0.20601;1000;492
0.20701;1000;492
0.20801;1000;496
0.20901;1000;495
0.21001;1000;489
0.21101;1000;487
0.21201;1000;490
0.21301;1000;494
0.21401;1000;504
0.21501;1000;512
0.21601;1000;523
0.21701;1000;534
0.21801;1000;547
0.21901;1000;561
0.22001;1000;575
0.22101;1000;585
0.22201;1000;589
0.22301;1000;594
0.22401;1000;598
0.22501;1000;608
0.22601;1000;620
0.22701;1000;621
0.22801;1000;623
0.22901;1000;623
0.23001;1000;626
0.23101;1000;629
0.23201;1000;633
0.23301;1000;641
0.23401;1000;643
0.23501;1000;639
0.23601;1000;631
0.23701;1000;621
0.23801;1000;611
0.23901;1000;604
0.24001;1000;598
0.24101;1000;583
0.24201;1000;566
0.24301;1000;542
0.24401;1000;526
0.24501;1000;515
0.24601;1000;511
0.24701;1000;505
0.24801;1000;495
0.24901;1000;484
0.25001;1000;482
0.25101;1000;480
0.25201;1000;474
0.25301;1000;470
0.25401;1000;473
0.25501;1000;480
0.25601;1000;489
0.25701;1000;494
0.25801;1000;497
0.25901;1000;503
0.26001;1000;512
0.26101;1000;521
0.26201;1000;523
0.26301;1000;514
0.26401;1000;504
0.26501;1000;491
0.26601;1000;481
0.26701;1000;473
0.26801;1000;469
0.26901;1000;473
0.27001;1000;487
0.27101;1000;493
0.27201;1000;497
0.27301;1000;495
0.27401;1000;490
0.27501;1000;490
0.27601;1000;490
0.27701;1000;491
0.27801;1000;484
0.27901;1000;487
0.28001;1000;493
0.28101;1000;493
0.28201;1000;495
0.28301;1000;499
0.28401;1000;504
0.28501;1000;505
0.28601;1000;503
0.28701;1000;499
0.28801;1000;498
0.28901;1000;500
0.29001;1000;496
0.29101;1000;487
0.29201;1000;487
0.29301;1000;487
0.29401;1000;485
0.29501;1000;479
0.29601;1000;475
0.29701;1000;475
0.29801;1000;483
0.29901;1000;490
0.30001;1000;494
0.30101;1000;494
0.30201;1000;499
0.30301;1000;502
0.30401;1000;505
0.30501;1000;503
0.30601;1000;496
0.30701;1000;489
0.30801;1000;489
0.30901;1000;492
0.31001;1000;489
0.31101;1000;490
0.31201;1000;492
0.31301;1000;492
0.31401;1000;496
0.31501;1000;502
0.31601;1000;496
0.31701;1000;484
0.31801;1000;474
0.31901;1000;473
0.32001;1000;468
0.32101;1000;471
0.32201;1000;478
0.32301;1000;484
0.32401;1000;490
0.32501;1000;499
0.32601;1000;511
0.32701;1000;519
0.32801;1000;527
0.32901;1000;528
0.33001;1000;526
0.33101;1000;522
0.33201;1000;515
0.33301;1000;514
0.33401;1000;507
0.33501;1000;507
0.33601;1000;502
0.33701;1000;503
0.33801;1000;504
0.33901;1000;502
0.34001;1000;497
0.34101;1000;497
0.34201;1000;503
0.34301;1000;515
0.34401;1000;521
0.34501;1000;524
0.34601;1000;523
0.34701;1000;524
0.34801;1000;529
0.34901;1000;530
0.35001;1000;520
0.35101;1000;511
0.35201;1000;509
0.35301;1000;508
0.35401;1000;505
0.35501;1000;505
0.35601;1000;504
0.35701;1000;499
0.35801;1000;500
0.35901;1000;509
0.36001;1000;512
0.36101;1000;520
0.36201;1000;523
0.36301;1000;522
0.36401;1000;516
0.36501;1000;508
0.36601;1000;500
0.36701;1000;496
0.36801;1000;494
0.36901;1000;497
0.37001;1000;499
0.37101;1000;503
0.37201;1000;510
0.37301;1000;516
0.37401;1000;517
0.37501;1000;519
0.37601;1000;524
0.37701;1000;528
0.37801;1000;520
0.37901;1000;514
0.38001;1000;515
0.38101;1000;519
0.38201;1000;519
0.38301;1000;521
0.38401;1000;524
0.38501;1000;526
0.38601;1000;528
0.38701;1000;517
0.38801;1000;508
0.38901;1000;500
0.39001;1000;498
0.39101;1000;499
0.39201;1000;502
0.39301;1000;512
0.39401;1000;516
0.39501;1000;516
0.39601;1000;518
0.39701;1000;522
0.39801;1000;524
0.39901;1000;511
0.40001;1000;508
0.40101;1000;514
0.40201;1000;516
0.40301;1000;514
0.40401;1000;519
0.40501;1000;520
0.40601;1000;518
0.40701;1000;515
0.40801;1000;515
0.40901;1000;518
0.41001;1000;525
0.41101;1000;527
0.41201;1000;522
0.41301;1000;521
0.41401;1000;524
0.41501;1000;524
0.41601;1000;525
0.41701;1000;529
0.41801;1000;530
0.41901;1000;529
0.42001;1000;528
0.42101;1000;527
0.42201;1000;522
0.42301;1000;519
0.42401;1000;521
0.42501;1000;521
0.42601;1000;531
0.42701;1000;538
0.42801;1000;545
0.42901;1000;552
0.43001;1000;556
0.43101;1000;559
0.43201;1000;554
0.43301;1000;544
0.43401;1000;534
0.43501;1000;527
0.43601;1000;520
0.43701;1000;520
0.43801;1000;515
0.43901;1000;512
0.44001;1000;520
0.44101;1000;533
0.44201;1000;540
0.44301;1000;542
0.44401;1000;545
0.44501;1000;551
0.44601;1000;550
0.44701;1000;546
0.44801;1000;548
0.44901;1000;546
0.45001;1000;545
0.45101;1000;543
0.45201;1000;535
0.45301;1000;527
0.45401;1000;519
0.45501;1000;515
0.45601;1000;512
0.45701;1000;514
0.45801;1000;524
0.45901;1000;533
0.46001;1000;534
0.46101;1000;540
0.46201;1000;550
0.46301;1000;555
0.46401;1000;556
0.46501;1000;553
0.46601;1000;550
0.46701;1000;549
0.46801;1000;547
0.46901;1000;547
0.47001;1000;543
0.47101;1000;547
0.47201;1000;552
0.47301;1000;555
0.47401;1000;553
0.47501;1000;544
0.47601;1000;543
0.47701;1000;542
0.47801;1000;538
0.47901;1000;534
0.48001;1000;526
0.48101;1000;516
0.48201;1000;517
0.48301;1000;524
0.48401;1000;527
0.48501;1000;533
0.48601;1000;543
0.48701;1000;553
0.48801;1000;546
0.48901;1000;548
0.49001;1000;550
0.49101;1000;550
0.49201;1000;536
0.49301;1000;530
0.49401;1000;531
0.49501;1000;534
0.49601;1000;540
0.49701;1000;549
0.49801;1000;551
0.49901;1000;537
